iter	Passed	Remaining
0	144	144455
1	146	73177
2	148	49415
3	150	37512
4	152	30374
5	154	25609
6	156	22214
7	158	19666
8	160	17687
9	162	16097
10	164	14784
11	166	13706
12	168	12788
13	170	12005
14	202	13293
15	203	12544
16	207	11973
17	211	11538
18	213	11022
19	215	10554
20	217	10140
21	219	9768
22	222	9444
23	224	9120
24	226	8823
25	228	8551
26	230	8303
27	232	8080
28	251	8406
29	255	8257
30	257	8048
31	259	7849
32	261	7664
33	263	7487
34	265	7318
35	267	7164
36	270	7032
37	272	6891
38	274	6755
39	276	6626
40	288	6749
41	290	6628
42	292	6512
43	294	6400
44	296	6295
45	298	6192
46	300	6097
47	302	6002
48	304	5913
49	306	5826
50	308	5742
51	317	5780
52	319	5703
53	321	5625
54	323	5551
55	325	5479
56	327	5412
57	329	5344
58	331	5288
59	333	5226
60	335	5165
61	337	5106
62	339	5049
63	343	5027
64	345	4973
65	350	4953
66	352	4902
67	354	4851
68	355	4802
69	357	4754
70	359	4708
71	361	4662
72	364	4623
73	366	4580
74	376	4638
75	378	4601
76	381	4576
77	383	4536
78	385	4496
79	387	4458
80	389	4421
81	391	4386
82	392	4338
83	395	4311
84	397	4277
85	399	4243
86	401	4212
87	403	4180
88	405	4148
89	408	4129
90	410	4100
91	412	4070
92	414	4041
93	416	4012
94	418	3985
95	420	3958
96	422	3931
97	424	3910
98	427	3888
99	429	3863
100	430	3834
101	432	3806
102	433	3778
103	435	3753
104	437	3730
105	439	3709
106	441	3686
107	443	3664
108	445	3643
109	447	3623
110	449	3602
111	456	3615
112	457	3595
113	460	3575
114	462	3560
115	464	3538
116	465	3512
117	466	3490
118	470	3484
119	472	3465
120	475	3454
121	477	3432
122	479	3415
123	481	3398
124	483	3381
125	485	3367
126	486	3347
127	488	3330
128	490	3314
129	492	3298
130	494	3283
131	536	3527
132	538	3509
133	539	3489
134	541	3469
135	543	3449
136	569	3588
137	573	3579
138	574	3559
139	576	3540
140	578	3525
141	580	3506
142	582	3488
143	583	3467
144	584	3447
145	585	3427
146	587	3409
147	590	3401
148	593	3389
149	595	3372
150	597	3357
151	599	3343
152	601	3328
153	603	3313
154	604	3297
155	606	3281
156	608	3264
157	609	3248
158	612	3237
159	614	3224
160	615	3206
161	620	3208
162	622	3195
163	624	3182
164	627	3175
165	636	3195
166	638	3182
167	639	3168
168	642	3159
169	654	3196
170	656	3184
171	659	3176
172	661	3164
173	663	3151
174	665	3138
175	667	3126
176	669	3114
177	671	3102
178	676	3101
179	677	3088
180	679	3076
181	681	3065
182	683	3053
183	685	3041
184	693	3055
185	696	3046
186	698	3036
187	701	3027
188	703	3018
189	707	3014
190	709	3003
191	710	2991
192	712	2980
193	714	2969
194	716	2959
195	718	2948
196	722	2945
197	724	2935
198	726	2923
199	761	3045
200	764	3039
201	766	3027
202	767	3014
203	770	3007
204	772	2996
205	774	2985
206	776	2975
207	778	2965
208	780	2954
209	782	2944
210	785	2938
211	788	2929
212	790	2919
213	792	2910
214	794	2899
215	797	2894
216	799	2883
217	800	2872
218	802	2861
219	803	2849
220	805	2838
221	806	2827
222	808	2816
223	810	2808
224	812	2799
225	822	2816
226	824	2807
227	828	2805
228	830	2796
229	839	2810
230	843	2806
231	845	2798
232	847	2789
